metric,mean,std
ENS_wGBSA_0.3,0.7230864773048704,
ENS3_rank,0.7137301416719408,0.009102120232430797
ENS_wGBSA_0.5,0.7101651412298124,0.006495677642783497
GBSA_tuned,0.7091254930930151,0.008116482861190842
RSF,0.7014888190605459,0.008267742622777574
Coxnet,0.699358134953414,0.012743246654822607
