metric,mean,std
ENS_wGBSA_0.5,0.7119891447158938,0.006713999353525438
ENS3_rank,0.711638352292657,0.006631428037354514
GBSA_tuned,0.7066775228103622,0.005985625221613819
Coxnet,0.7001633243265096,0.00573837305164715
RSF,0.6984111892250245,0.007102085348299126
STACK_CoxPH,0.6958894084646468,0.006290455276709969
