RSF,GBSA,GBSA_tuned,ENS_3models_rank,TFIDF_MAX,SVD_K,CENTER_TE,Xdim
0.7154980223065182,0.7192743567414098,0.7216612355322068,0.7228698035146661,5000,120,0,243
0.7163207653463307,0.719350599806084,0.7213035032354023,0.7225309834555745,5000,120,1,244
0.7179580049156341,0.7164924303226664,0.715429729514241,0.7210453318636219,5000,80,0,203
0.7145541874941709,0.7175459081565767,0.7182570787531478,0.7204456970099936,10000,100,1,224
0.7131353310986237,0.7167324087154174,0.7173462131117752,0.7204340360123452,10000,150,1,274
0.7172042268596475,0.7160015327919659,0.715716273066144,0.7203401998376063,5000,80,1,204
0.7161571392395152,0.7137075238440048,0.7149572682884314,0.718601187338428,10000,100,0,223
0.7117292314737904,0.7156441982387975,0.7161933259326687,0.718431794564955,20000,150,1,274
0.7110898514936249,0.7137508063820323,0.7140252328760835,0.7176519304830603,20000,200,1,324
0.7109864683046347,0.7138605925640397,0.7144370319300174,0.7173180457295935,20000,150,0,273
0.7103217741898326,0.7135048608532032,0.7149665660064202,0.7168742656521758,10000,150,0,273
0.7085913975343637,0.7129830546281041,0.7145198234036559,0.7154596797266499,20000,200,0,323
